96,103,107,bicycle
122,113,114,bicycle
90,87,21,bicycle
105,110,97,bicycle
82,79,69,bicycle
145,137,116,bicycle
138,131,121,bicycle
196,196,194,bicycle
109,114,118,bicycle
80,66,77,bicycle
10,26,17,bicycle
7,166,0,bicycle
76,58,67,bicycle
247,240,219,bicycle
91,90,78,bicycle
19,20,16,bicycle
87,84,71,bicycle
94,95,102,bicycle
176,175,178,bicycle
131,123,111,bicycle
188,200,203,building
255,255,255,building
234,247,255,building
83,154,212,building
102,150,230,building
253,253,253,building
156,213,249,building
251,251,251,building
251,251,251,building
115,166,223,building
150,209,253,building
255,255,255,building
238,229,235,building
45,87,0,building
242,254,254,building
0,253,253,building
253,0,0,building
137,253,255,building
175,206,241,building
255,255,255,building
252,252,252,greenery
0,255,0,greenery
0,255,0,greenery
0,81,0,greenery
0,255,0,greenery
18,22,0,greenery
41,61,38,greenery
135,161,0,greenery
255,255,255,greenery
98,108,68,greenery
111,145,73,greenery
253,253,253,greenery
4,5,0,greenery
24,35,0,greenery
91,106,0,greenery
91,138,0,greenery
0,103,0,greenery
0,255,0,greenery
0,13,0,greenery
95,242,255,greenery
225,236,242,mountain
26,254,255,mountain
254,254,254,mountain
91,115,202,mountain
255,255,255,mountain
106,134,171,mountain
183,198,238,mountain
253,253,253,mountain
0,221,253,mountain
0,248,0,mountain
79,110,169,mountain
241,252,253,mountain
255,255,0,mountain
0,250,253,mountain
62,124,201,mountain
41,84,136,mountain
97,105,248,mountain
0,108,0,mountain
253,253,253,mountain
249,0,0,mountain
17,21,24,panda
5,4,4,panda
255,255,255,panda
255,255,255,panda
20,20,20,panda
57,72,68,panda
43,43,43,panda
53,255,75,panda
39,29,36,panda
253,253,253,panda
8,255,39,panda
0,0,5,panda
28,34,41,panda
255,255,255,panda
17,19,18,panda
255,255,0,panda
23,24,22,panda
244,250,36,panda
255,1,0,panda
150,18,0,panda
255,255,255,spongebob
255,255,255,spongebob
255,255,255,spongebob
255,255,255,spongebob
255,255,205,spongebob
255,255,255,spongebob
0,76,164,spongebob
246,242,102,spongebob
255,255,0,spongebob
255,255,255,spongebob
167,255,255,spongebob
255,178,0,spongebob
255,255,255,spongebob
255,255,255,spongebob
184,181,68,spongebob
255,151,0,spongebob
255,255,255,spongebob
255,201,0,spongebob
255,255,255,spongebob
159,165,0,spongebob
94,129,187,statue of liberty
176,197,238,statue of liberty
189,186,193,statue of liberty
224,227,231,statue of liberty
154,161,164,statue of liberty
133,152,187,statue of liberty
119,133,152,statue of liberty
12,56,110,statue of liberty
0,0,0,statue of liberty
72,169,215,statue of liberty
49,113,200,statue of liberty
82,125,193,statue of liberty
74,101,176,statue of liberty
253,253,253,statue of liberty
112,132,195,statue of liberty
137,160,208,statue of liberty
64,140,180,statue of liberty
92,129,184,statue of liberty
116,159,0,statue of liberty
140,175,222,statue of liberty
255,89,0,strawberry
248,248,248,strawberry
201,208,233,strawberry
231,238,231,strawberry
255,0,0,strawberry
1,0,5,strawberry
1,1,1,strawberry
203,0,8,strawberry
4,4,4,strawberry
0,0,0,strawberry
167,37,32,strawberry
255,255,255,strawberry
192,192,192,strawberry
255,255,255,strawberry
255,255,255,strawberry
172,46,61,strawberry
255,255,255,strawberry
255,255,255,strawberry
12,12,12,strawberry
192,192,192,strawberry
2,2,2,sunflower
255,162,0,sunflower
0,0,0,sunflower
0,0,0,sunflower
255,223,0,sunflower
255,42,42,sunflower
255,0,0,sunflower
255,4,0,sunflower
255,209,0,sunflower
255,196,0,sunflower
241,198,67,sunflower
0,32,0,sunflower
7,8,0,sunflower
61,114,0,sunflower
255,255,255,sunflower
191,171,0,sunflower
255,255,0,sunflower
109,154,0,sunflower
255,247,0,sunflower
51,76,0,sunflower
0,0,0,tiger
19,29,15,tiger
5,6,0,tiger
0,0,0,tiger
51,78,52,tiger
141,76,0,tiger
16,17,0,tiger
6,25,0,tiger
53,47,40,tiger
23,20,15,tiger
233,235,223,tiger
203,119,0,tiger
129,78,0,tiger
141,128,118,tiger
255,0,0,tiger
0,20,0,tiger
82,110,57,tiger
28,32,27,tiger
0,0,0,tiger
141,126,0,tiger
120,176,228,tower
5,4,9,tower
195,205,215,tower
208,213,0,tower
37,88,255,tower
190,190,212,tower
127,159,184,tower
76,121,116,tower
161,172,184,tower
250,250,250,tower
211,215,221,tower
255,255,255,tower
255,255,255,tower
143,203,255,tower
0,155,197,tower
150,165,180,tower
125,145,177,tower
0,66,0,tower
126,174,221,tower
19,25,0,tower
255,255,255,waterfront
143,195,213,waterfront
28,144,255,waterfront
107,115,199,waterfront
114,140,231,waterfront
101,141,158,waterfront
124,152,174,waterfront
125,160,212,waterfront
32,95,82,waterfront
123,159,225,waterfront
136,157,221,waterfront
121,161,210,waterfront
14,29,251,waterfront
219,226,244,waterfront
219,231,245,waterfront
15,29,12,waterfront
176,176,211,waterfront
245,246,249,waterfront
208,207,209,waterfront
124,133,231,waterfront
255,255,255,window
90,125,113,window
90,141,0,window
0,0,0,window
255,0,255,window
2,2,0,window
2,1,0,window
107,123,159,window
0,0,14,window
0,4,0,window
30,23,28,window
0,110,0,window
0,11,0,window
255,22,17,window
40,32,0,window
220,220,220,window
213,177,142,window
7,0,0,window
0,103,63,window
1,0,0,window
